日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,Return
2024-03-29,601127,88.17,86.67,89.4,85.95,614422,5379890542.0,3.82,-4.09,-3.7,4.07,90.51599999999999,96.27799999999999,96.744,-0.04094279074914242
2024-04-01,601127,87.18,90.1,93.12,86.33,657165,5937981204.0,7.83,3.96,3.43,4.35,89.374,94.845,96.63300000000001,0.039575400946117334
2024-04-02,601127,90.13,88.42,92.06,87.67,495311,4436537516.0,4.87,-1.86,-1.68,3.28,88.94399999999999,93.404,96.5205,-0.018645948945615887
2024-04-03,601127,87.17,86.08,87.57,84.63,453421,3910496478.0,3.33,-2.65,-2.34,3.0,88.328,91.72,95.979,-0.026464600769056768
2024-04-08,601127,86.08,88.22,90.65,86.08,570835,5085501453.0,5.31,2.49,2.14,3.78,87.898,90.577,95.607,0.024860594795539148
2024-04-09,601127,87.72,85.21,88.17,84.27,426332,3675498151.0,4.42,-3.41,-3.01,2.82,87.606,89.061,95.129,-0.03411924733620497
2024-04-10,601127,85.21,82.82,85.55,82.12,393481,3282535375.0,4.03,-2.8,-2.39,2.61,86.14999999999999,87.762,94.1765,-0.028048351132496152
2024-04-11,601127,82.87,84.9,86.87,82.59,533657,4539411861.0,5.17,2.51,2.08,3.53,85.446,87.19500000000001,93.3595,0.025114706592610725
2024-04-12,601127,85.86,89.47,92.16,85.85,788686,7110750298.0,7.43,5.38,4.57,5.22,86.124,87.226,92.7545,0.05382803297997629
2024-04-15,601127,89.48,86.23,89.51,85.61,481916,4201194178.0,4.36,-3.62,-3.24,3.19,85.726,86.81199999999998,92.11749999999999,-0.03621325583994628
2024-04-16,601127,84.67,87.03,89.18,83.63,516771,4499972512.0,6.44,0.93,0.8,3.42,86.09,86.848,91.563,0.0092775136263481
2024-04-17,601127,88.24,94.33,94.67,87.25,626062,5657516732.0,8.53,8.39,7.3,4.15,88.39200000000001,87.27099999999999,91.058,0.08387912214179005
2024-04-18,601127,94.67,91.45,98.17,91.17,854861,8162086514.0,7.42,-3.05,-2.88,5.66,89.702,87.574,90.489,-0.030531114173645624
2024-04-19,601127,89.36,95.15,95.21,88.76,641060,5937453165.0,7.05,4.05,3.7,4.25,90.83800000000001,88.481,90.1005,0.04045926735921279
2024-04-22,601127,93.68,94.6,96.18,93.24,399219,3793426300.0,3.09,-0.58,-0.55,2.64,92.512,89.119,89.848,-0.005780346820809412
2024-04-23,601127,94.87,92.72,95.93,90.7,489294,4601122439.0,5.53,-1.99,-1.88,3.24,93.65,89.87,89.46549999999999,-0.019873150105708226
2024-04-24,601127,90.76,89.83,91.97,89.56,500432,4543162448.0,2.6,-3.12,-2.89,3.31,92.75,90.571,89.16650000000001,-0.031169111302847274
2024-04-25,601127,90.07,90.1,91.9,89.36,366073,3322040113.0,2.83,0.3,0.27,2.42,92.47999999999999,91.091,89.143,0.0030056773906266265
2024-04-26,601127,89.07,94.46,94.66,88.47,636808,5919631438.0,6.87,4.84,4.36,4.22,92.34200000000001,91.59,89.408,0.04839067702552713
2024-04-29,601127,91.42,95.07,95.1,90.37,739228,6885552199.0,5.01,0.65,0.61,4.9,92.43599999999999,92.474,89.643,0.006457759898369719
2024-04-30,601127,99.84,90.82,102.67,90.61,943021,9082974694.0,12.69,-4.47,-4.25,6.25,92.056,92.853,89.8505,-0.04470390238771427
2024-05-06,601127,92.65,91.12,94.05,89.02,737928,6789956773.0,5.54,0.33,0.3,4.89,92.314,92.53200000000001,89.9015,0.0033032371724290854
2024-05-07,601127,91.67,86.65,92.17,85.72,792352,6983026878.0,7.08,-4.91,-4.47,5.25,91.624,92.05199999999999,89.81299999999999,-0.04905618964003511
2024-05-08,601127,85.37,84.5,86.35,83.47,494944,4204515365.0,3.32,-2.48,-2.15,3.28,89.63199999999999,90.987,89.734,-0.024812463935372286
2024-05-09,601127,84.58,84.85,85.55,83.74,330177,2813839170.0,2.14,0.41,0.35,2.19,87.58800000000001,90.012,89.5655,0.004142011834319392
2024-05-10,601127,84.67,84.29,85.17,82.38,381728,3202043313.0,3.29,-0.66,-0.56,2.53,86.282,89.169,89.5195,-0.006599882144961544
2024-05-13,601127,83.68,85.05,86.36,82.88,380709,3264599558.0,4.13,0.9,0.76,2.52,85.068,88.691,89.631,0.009016490686914125
2024-05-14,601127,85.67,86.94,87.19,85.17,393807,3423143123.0,2.38,2.22,1.89,2.61,85.126,88.375,89.733,0.022222222222222143
2024-05-15,601127,86.07,84.63,86.08,84.27,291723,2489552624.0,2.08,-2.66,-2.31,1.93,85.152,87.392,89.49100000000001,-0.02657004830917875
2024-05-16,601127,85.36,84.67,85.52,83.67,233852,1986223021.0,2.19,0.05,0.04,1.55,85.116,86.352,89.413,0.0004726456339361196
2024-05-17,601127,84.67,87.85,88.47,84.48,466566,4079367767.0,4.71,3.76,3.18,3.09,85.828,86.05499999999999,89.45400000000001,0.037557576473367105
2024-05-20,601127,87.68,88.19,89.62,87.18,324536,2880937449.0,2.78,0.39,0.34,2.15,86.45599999999999,85.762,89.14699999999999,0.0038702333523050747
2024-05-21,601127,88.17,87.62,89.18,86.43,341286,3009956093.0,3.12,-0.65,-0.57,2.26,86.592,85.85900000000001,88.9555,-0.006463317836489346
2024-05-22,601127,87.17,86.71,87.89,86.17,251591,2187169347.0,1.96,-1.04,-0.91,1.67,87.008,86.08,88.5335,-0.010385756676557945
2024-05-23,601127,86.3,85.18,87.35,84.51,272199,2343240753.0,3.28,-1.76,-1.53,1.8,87.10999999999999,86.113,88.0625,-0.017645023642025026
2024-05-24,601127,84.93,83.78,85.36,83.67,213351,1802971265.0,1.98,-1.64,-1.4,1.41,86.296,86.062,87.6155,-0.0164357830476638
2024-05-27,601127,85.43,86.27,87.05,84.6,308430,2659401371.0,2.92,2.97,2.49,2.04,85.912,86.184,87.4375,0.029720697063738255
2024-05-28,601127,86.28,85.42,87.15,84.37,273859,2363940353.0,3.22,-0.99,-0.85,1.81,85.47200000000001,86.032,87.20349999999999,-0.009852787759360049
2024-05-29,601127,85.42,86.6,87.17,84.58,280778,2430786936.0,3.03,1.38,1.18,1.86,85.45,86.229,86.8105,0.01381409505970499
2024-05-30,601127,86.68,85.68,87.08,85.55,234361,2025429105.0,1.77,-1.06,-0.92,1.55,85.55,86.33000000000001,86.341,-0.010623556581985993
2024-05-31,601127,86.55,88.6,89.67,86.06,464186,4120288493.0,4.21,3.41,2.92,3.07,86.514,86.405,86.23,0.03408029878618102
2024-06-03,601127,91.17,90.16,92.09,89.11,572621,5222768858.0,3.36,1.76,1.56,3.79,87.292,86.602,86.18199999999999,0.01760722347629806
2024-06-04,601127,89.57,87.25,90.15,86.67,370822,3283245405.0,3.86,-3.23,-2.91,2.46,87.65799999999999,86.565,86.21199999999999,-0.03227595385980475
2024-06-05,601127,87.25,86.71,87.85,86.42,221384,1934340335.0,1.64,-0.62,-0.54,1.47,87.67999999999999,86.565,86.32249999999999,-0.006189111747851084
2024-06-06,601127,86.85,87.37,87.37,85.07,286622,2480973840.0,2.65,0.76,0.66,1.9,88.018,86.78399999999999,86.4485,0.007611578825971854
2024-06-07,601127,87.17,86.34,88.12,86.11,211395,1843408543.0,2.3,-1.18,-1.03,1.4,87.566,87.03999999999999,86.551,-0.011788943573308952
2024-06-11,601127,86.07,85.68,86.16,84.37,171668,1473635081.0,2.07,-0.76,-0.66,1.14,86.66999999999999,86.98100000000001,86.58250000000001,-0.007644197359277238
2024-06-12,601127,84.67,85.66,86.17,84.28,159880,1373510519.0,2.21,-0.02,-0.02,1.06,86.352,87.00500000000001,86.51849999999999,-0.0002334267040150495
2024-06-13,601127,85.57,86.07,88.12,85.37,298823,2601354966.0,3.21,0.48,0.41,1.98,86.224,86.952,86.59049999999999,0.004786364697641821
2024-06-14,601127,85.67,87.46,87.89,84.69,274548,2368738569.0,3.72,1.61,1.39,1.82,86.24199999999999,87.13,86.72999999999999,0.01614964563727206
2024-06-17,601127,88.17,92.57,93.14,87.85,685098,6285406983.0,6.05,5.84,5.11,4.54,87.488,87.527,86.966,0.058426709352846995
2024-06-18,601127,92.89,100.02,100.4,92.17,847528,8194441729.0,8.89,8.05,7.45,5.61,90.356,88.513,87.5575,0.08047963703143579
2024-06-19,601127,100.37,99.77,101.05,98.97,544954,5458590219.0,2.08,-0.25,-0.25,3.61,93.178,89.765,88.16499999999999,-0.002499500099980012
2024-06-20,601127,100.67,100.86,102.62,99.26,492783,4987153971.0,3.37,1.09,1.09,3.26,96.136,91.18,88.87249999999999,0.01092512779392596
2024-06-21,601127,100.27,99.32,101.86,98.67,393910,3953009121.0,3.16,-1.53,-1.54,2.61,98.508,92.375,89.57950000000001,-0.015268689272258662
2024-06-24,601127,99.67,94.9,100.66,94.9,553715,5410447227.0,5.8,-4.45,-4.42,3.67,98.974,93.231,90.1355,-0.04450261780104703
2024-06-25,601127,95.16,85.38,96.83,85.38,1053373,9510476881.0,12.07,-10.03,-9.52,6.98,96.046,93.201,90.091,-0.1003161222339306
2024-06-26,601127,84.02,85.76,86.46,81.68,736961,6257408224.0,5.6,0.45,0.38,4.88,93.244,93.21099999999998,90.108,0.004450691028343945
2024-06-27,601127,85.02,84.16,86.19,84.07,354454,3026009901.0,2.47,-1.87,-1.6,2.35,89.904,93.02000000000001,89.98599999999999,-0.018656716417910557
2024-06-28,601127,84.55,90.79,92.16,84.19,715406,6410852528.0,9.47,7.88,6.63,4.74,88.19800000000001,93.353,90.2415,0.07877851711026618
2024-07-01,601127,91.77,92.0,93.33,89.88,475213,4372816358.0,3.8,1.33,1.21,3.15,87.618,93.296,90.4115,0.013327458971252204
2024-07-02,601127,92.92,89.65,92.92,88.72,418685,3802973803.0,4.57,-2.55,-2.35,2.77,88.47200000000001,92.25899999999999,90.386,-0.025543478260869557
2024-07-03,601127,87.67,88.12,90.76,85.59,453565,4009905121.0,5.77,-1.71,-1.53,3.0,88.944,91.094,90.4295,-0.01706636921360849
2024-07-04,601127,89.27,86.34,89.44,86.34,322239,2833020606.0,3.52,-2.02,-1.78,2.13,89.38000000000001,89.642,90.411,-0.0201997276441217
